n,cmp,swaps,time
0,0,0,9
1,0,0,0
2,1,2,13
3,3,4,3
4,7,6,3
5,12,8,4
6,16,12,5
7,20,15,6
8,27,21,8
9,36,24,10
10,42,25,13
11,48,31,14
12,53,35,12
13,59,39,34
14,66,43,29
15,71,48,8
16,82,54,27
17,91,58,9
18,101,62,6
19,111,70,5
20,119,76,6
21,120,70,6
22,128,77,6
23,142,84,6
24,150,90,7
25,156,95,7
26,170,106,11
27,182,111,11
28,190,111,7
29,200,118,8
30,207,122,8
31,217,130,8
32,226,133,8
33,239,139,9
34,246,147,12
35,256,149,13
36,266,157,8
37,281,165,9
38,289,173,10
39,298,179,12
40,309,182,11
41,322,190,14
42,330,194,10
43,346,202,10
44,356,209,13
45,368,217,9
46,373,213,15
47,388,221,9
48,397,225,27
49,412,234,10
50,419,235,10
51,432,244,28
52,440,253,14
53,453,259,20
