n,cmp,swaps,time
0,0,0,2
1,0,0,0
2,2,2,16
3,3,2,3
4,8,4,4
5,12,6,5
6,18,8,6
7,21,11,6
8,24,11,8
9,26,12,8
10,34,15,9
11,36,15,22
12,46,19,10
13,59,17,20
14,62,23,11
15,72,22,12
16,77,26,17
17,78,26,24
18,79,29,22
19,88,30,19
20,90,34,34
21,99,34,13
22,108,37,35
23,123,41,10
24,126,41,10
25,128,40,9
26,135,43,10
27,157,46,11
28,164,52,29
29,192,43,30
30,187,52,4
31,187,54,36
32,197,60,4
33,192,58,4
34,227,61,4
35,227,61,4
36,225,65,4
37,301,65,5
38,292,70,8
39,298,69,5
40,332,76,6
41,330,73,5
42,334,78,4
43,324,78,8
44,323,80,6
45,394,77,4
46,375,87,4
47,377,88,4
48,349,89,4
49,327,91,8
50,334,97,4
51,368,101,4
52,380,99,4
53,395,102,5
